C9orf152	0.00334647474099202
ELMO2	0.00160447419088659
CREB3L1	0.00660126524250481
RPS11	0.0011002108737508
PNMA1	0.000779316035573485
MMP2	0.00797652883469332
TMEM216	0.00155863207114697
C10orf90	0.00871000275052719
AP002884.3	0.000779316035573485
ZHX3	0.00779316035573485
ERCC5	0.0087558448702668
RXFP3	0.0060053176858898
APBB2	0.00884752910974603
KRTAP10-8	0.0013752635921885
PDCL3	0.00444668561474283
AEN	0.00426331713578436
DECR1	0.00330063262125241
FRG2	0.00279636930411662
SALL1	0.00705968643990098
CADM4	0.00242963234619969
RPS18	0.000366736957916934
SLC10A7	0.00187952690932429
CFHR5	0.0147611625561566
BRIX1	0.00279636930411662
OR2K2	0.00770147611625562
LMAN1	0.00265884294489777
CHD8	0.0131108462455304
SUMO1	0.000183368478958467
GP1BA	0.00458421197396168
UQCR11	0.000595947556615018
DDB1	0.00426331713578436
MYO9B	0.0260841661318419
MMP7	0.00352984321995049
CRNKL1	0.00421747501604474
XAB2	0.00412579077656551
RTN1	0.00815989731365178
KLHL14	0.00481342257265976
TBX10	0.00495094893187861
ZBTB12	0.000366736957916934
CENPQ	0.00247547446593931
ZAR1L	0.000687631796094251
DTNBP1	0.00293389566333547
KBTBD8	0.00265884294489777
ZEB1	0.0062803704043275
ZG16	0.00233794810672045
FAT4	0.0537269643348308
MIER1	0.00288805354359586
CHD9	0.0224167965526726
STK16	0.00242963234619969
ARID3C	0.00407994865682589
TOB2	0.00692216008068213
INIP	0.000320894838177317
BANK1	0.0110479508572476
OR2V2	0.00573026496745209
SFTA2	0.0013752635921885
GRM2	0.0112313193362061
IPO9	0.00371321169890896
EVC	0.00701384432016136
CXCL13	0.00100852663427157
SORL1	0.0303474832676263
CHD1	0.00550105436875401
NAT10	0.0129733198863115
SYN3	0.0112313193362061
SLC22A2	0.0090308975887045
SERPINF1	0.00981021362427799
WDR34	0.00435500137526359
OR7A17	0.00508847529109746
SUGCT	0.0071055285596406
LHB	0.000825158155313102
STK25	0.0022004217475016
